PROP_ID,FLOOR_NUM
Y70806748,
D70806368,
J70803166,
K70802696,
G70801918,
Y70743412,4
R70743334,2
L69222632,3
X69218612,4
O70116778,5
R69966044,3
S69924314,15
M70526454,
J70125856,1
J70124736,2
J70124526,2
X66867968,1
X50051834,6
U46011145,12
O71022570,35
Z71020064,19
O70980650,1
M70980370,
L70968404,1
N70972742,2
Y70972338,1
F70970868,19
B70969040,15
K70968202,6
L68203126,4
T70967152,1
Q70534254,G
G70953616,8
T70952356,12
G70939488,4
R70758930,1
M70931608,1
D70758360,2
E70913394,22
U70913216,4
X70898038,G
R70889114,4
D67210866,6
D70845674,6
N70845666,7
B70872224,
V70717784,9
M70859588,2
C70860620,4
O70856290,6
Y70848590,4
Y70844120,4
T70844166,4
Z70747072,3
L70792838,5
M70835970,11
Y70745096,3
E70760182,1
S70834060,12
V70833892,18
N70760134,1
T70762780,2
R70830834,11
L69051948,5
S69664902,5
Z69667050,6
M69660142,6
K69661456,9
N69472380,6
M69472524,11
M69662028,11
P69664676,9
A70830006,2
F70829800,32
V70761748,4
T70811776,1
I70762616,1
W70760356,1
D70802546,
M70801922,
E70785792,1
M70800218,
J70747732,3
T70747842,G
P70747488,0
C70776764,2
Y70792184,5
C70784392,
H70783000,15
U70773426,26
T69535004,6
E69536040,8
F69536686,9
A70767072,2
E70762450,2
B70761864,20
F70760464,3
G70760422,4
L70760110,4
E70758076,4
O70756164,
O70754254,1
D70749072,2
O70749006,4
R70748778,4
G70748212,3
F70748132,1
W66363384,2
N70745622,3
Y70734664,2
A70734310,1
E70729270,4
R70729120,
U69410668,
C70705094,2
R70702282,
H70289694,2
V67046754,
E70664412,1
M70660850,19
W70652970,1
X70646818,4
Z70626696,3
W70626416,G
X70620132,3
V70586112,
I70573690,6
F70541296,
T70541162,
D70537642,2
W70534640,
O70532432,8
N70517866,14
A69237380,10
M70514932,1
E70514616,1
W70496820,
Z70478370,5
A70431404,1
F70413080,1
T69822902,1
C70416368,4
O70414150,7
Z70399672,2
R70407646,8
S70391540,
G70391234,
U70391182,
G70391112,
J70390604,22
U70286078,10
M70258088,6
Y70334360,6
Q70241996,3
Y70281378,14
H70280888,
N69952182,5
L70267602,
F67800306,2
E67800538,3
C67800426,3
V67778908,2
I66590560,
X69097300,
J70236130,5
R70216694,11
D70209278,4
W66365150,2
C69950908,14
S69946912,16
Z70132890,22
K70129910,4
N70109026,9
V70108150,6
C70107814,7
H70106298,7
S70105972,9
A70086188,17
E70076814,7
Z70072346,3
W68871958,
I70023036,4
N70022864,6
F69986330,1
J69962672,G
N69956194,6
P69948042,5
P69939860,8
I69939108,2
Q69938830,1
N69938298,3
Q69936240,1
N69935778,1
D69935760,1
H69935374,2
G69920346,1
J69919876,1
Y69906404,1
G69900568,2
I69870798,L
W69867932,1
C69861780,
P69861734,
V69861640,
B69861500,
R69804716,11
O69657678,3
V69726474,
D66385870,4
L66990750,1
E70408864,
D64135238,
F11270135,3
C70997048,10
Q70996812,7
U70996710,7
J70996472,9
L70996408,12
N68629496,
L70927614,3
C70927052,9
A70926902,14
A70630284,2
S67782542,
J70435450,2
C70421440,6
W70067878,2
V60406290,10
I65853778,1
Y64002810,
A61228178,
M65061434,4
N70770050,G
X70464738,5
G70442716,17
K70280062,4
V70241778,7
F70240784,G
I70238478,3
U70235690,2
N70177032,
D70027296,6
K70021182,
Z70016224,
K69957924,6
B69957266,6
F69957038,5
J69850970,2
N71012524,4
M71011636,4
K71011236,2
Q70986402,
P70872166,3
L70901416,G
Z70898316,G
B70898208,G
M70832398,10
U70835172,26
V70756018,22
M70756120,22
J70893862,
U70755278,11
U70754544,8
Z70893538,1
V70878742,2
I70876652,
G70873528,1
D70872644,12
F70767154,20
G70850606,20
K70831884,12
J70749968,9
Z70849050,4
K70849004,12
A70848942,10
U70848888,9
F70848818,8
I70837778,6
I70834288,9
L70832142,10
H70831744,4
X70831362,5
C70831238,9
O70830970,7
D70830238,6
M70828920,5
Y70827540,10
P70770176,15
Y70770086,4
W70770006,5
Y70769842,
Y70768120,7
R70767986,9
E70767710,8
K70767604,5
T70767388,10
U70765930,17
L70756412,3
T70755644,15
Y70753976,8
W70753526,11
Q70750662,8
W70666148,G
J70469212,11
K70404832,1
J70373856,3
U70373598,2
L68795610,3
W68516904,G
Q69250248,3
Y69248650,8
A67097050,G
B69130036,23
L68321712,16
T69123120,
D70283648,4
F70254142,1
Q67534850,2
L70196738,G
X70215814,4
W70878374,3
E70877724,12
H70877406,11
B70877280,18
C70876962,12
H70876826,11
V70876686,3
Q70876552,1
B70876208,
G70875782,2
S70875704,3
K70872802,3
P70687458,1
I68913268,8
Q63717950,2
X70211524,
T70210198,
S70208872,27
R70201122,24
F70200522,8
N70095526,3
M69979680,18
T67953190,11
B69216570,10
Q70139620,G
N70083940,1
P68648600,3
I68647478,1
J70405304,
L70252128,6
W70251914,9
Z70237238,16
B70026286,6
C69945670,23
D69942760,14
T69932380,6
P64264416,12
X69978608,6
G70725736,
K70662978,7
S69088428,5
P70512180,4
F70510874,2
A70391148,11
A70391034,8
I70389992,10
K70389432,11
O70388968,
Z69184406,2
M56236794,1
P41905101,1
D70253960,14
N70253410,12
Z70253212,
B70253064,
K68838324,6
M68839474,5
E69997018,10
V69954182,6
B69897372,7
B69423946,8
X64568366,18
W56236972,
V59685898,2
A66918196,
G69957660,4
Q70459134,16
L70529646,10
L69145902,7
J67717008,2
I70106276,5
J70101186,7
G70098830,9
E70058614,2
D61488894,
V70037324,2
S70630174,1
Y70408098,3
M70024582,
T69342786,2
O68435000,31
K70542904,
A70739786,G
B68920412,12
U69935544,5
N46313315,G
N45902441,3
Q49687334,12
Q53556964,1
R68539704,11
T62862336,
R51099472,
N63692754,
T49016411,
L63421476,
Y66421988,
K50216926,4
N48891803,5
E49687122,3
K33818781,G
D53094968,1
T50190218,6
T47639525,6
W49686550,7
M48762987,7
K47639079,6
Z62474864,10
V68881040,21
X47152659,12
L48566239,12
E42806165,11
L43697191,8
Z65202820,1
R65180796,
M71017692,28
E68895786,4
X68986318,2
E68936814,1
K69163442,2
J15983155,G
F70631540,2
O70367590,
X70078454,4
I70635796,6
Z70525318,
F62597298,2
R62598268,2
S67375842,
Y71008028,9
K70986912,
I70067630,3
D70067542,2
Q70067098,G
G70067430,4
Z70785920,4
N70771742,1
Y70703466,2
A70699912,
R70067674,1
A70067924,1
S70067154,1
L70521392,12
K70608398,4
M70574100,5
U70536392,4
Z70536202,5
L70535974,6
W70528388,4
V70454460,4
I70420756,2
L70420582,7
F70197024,12
P70120904,10
Z70123946,
X70066632,7
B70065406,2
O70046168,
X69748672,
O69289826,3
H69049562,4
W70233694,5
H70875364,1
K70786580,15
U70785328,1
R70785264,4
O70252960,9
C70252644,7
L70585690,2
N70586086,
O70650834,2
J70602408,6
E70602374,10
Q70602298,4
F70602284,4
I70590168,
T70589404,18
F70585572,2
M67701362,1
K70468740,8
P70378508,
T70378410,
M70377198,
A70376056,
W70346046,15
C70343934,
A70342216,
R70339558,3
V70335114,
V70333904,
H70277642,G
M70255380,
O70246956,10
V70133628,
N70127528,
J70126892,4
V70116168,7
U70115748,
J70115540,
W70033768,2
Z70015952,4
B70012944,9
O70011844,2
F69980082,
N69978386,8
P69965966,
L69965620,12
C69907588,9
E69904786,
M69898836,6
Z69896148,
L69804394,2
P70155918,3
P70154168,
F70092106,
U69883058,G
B69882872,
J69882502,
Z69868308,7
Y69867312,18
Z69857946,7
D69804872,1
B66375136,
F62152244,
O70461526,10
Q70330448,10
C70225982,3
J70226272,11
O70119644,11
I70421442,1
Q70421166,
X70349248,2
I70349208,5
S70319216,22
Z70279896,2
I70085190,10
Z70068800,17
J69411502,5
A70932044,1
M70444212,2
R70423232,
K70364838,1
R70327424,
Q70300282,1
S70221424,1
K70091598,
E70069022,G
Z70068332,1
E70021696,
H66213246,
Q64747662,
U58508216,18
G70971132,30
P69853350,14
C62511538,4
S70927448,16
X70925160,
N70914668,4
F70913052,10
J70873600,G
O70894500,10
M70442576,10
U70802636,4
F57835122,6
I70767130,12
G60035378,15
S70232170,7
L63126436,9
A64140400,7
Y66645394,
Y64141674,2
H55315322,
Y65094238,7
I63985380,2
O70233392,5
B70683574,25
X70638098,27
Y70533284,5
T70533124,7
E70668842,1
T70663530,8
U70663418,2
M70663324,10
S70633032,5
P70536046,15
I70535856,11
Z70521944,20
V70502182,
O70498492,
F70496234,5
Z70476044,9
D70475898,17
D70457164,24
S70464364,20
G70441276,G
Z70437178,1
L70421714,6
H70420774,4
Q70420590,9
J70420452,G
Z65069310,2
U65067348,2
N70337114,14
Z70336580,5
H70305270,16
N70301528,4
F70284206,4
V70284116,2
Z70284024,1
N70278924,2
A70210174,6
X70217292,2
W70204696,
G70191408,13
P70158774,11
J70144800,7
K70128126,17
E70118840,7
P70112974,15
Z70109792,10
D70108600,10
P70104586,10
K70083812,9
B70026602,15
V70025730,11
M70009642,G
N68185680,4
L68185542,2
Z68185400,2
R69973428,9
M69973072,2
M69959746,10
A69943690,5
S57574668,12
X69918200,2
R69918104,4
R69916622,
I69916178,
Y69905750,6
W69881142,9
B69810550,4
J52249128,9
J69595840,16
I68291754,2
Q68424042,4
T65350858,9
Y66452938,
X67856144,
C67855830,
V70929756,3
I70929252,1
O70910050,1
S70901440,2
I70878192,6
F70659156,1
X70775660,2
S70644378,6
Y70745984,
F70738828,6
R70707150,10
G70637852,18
R70606464,2
L70567120,
R70563614,1
G70474130,
I70456196,G
S70390676,3
Z70217248,15
N70074634,
D70034678,2
A70028908,3
V69942910,2
K69942834,2
N69942740,2
V69868736,3
I70971606,4
N70971304,
M70927746,
K70926182,3
J70910460,10
U70897940,
D70773656,15
K70729318,
V70722524,1
X70614230,
T70613394,
W70593488,7
J70516842,7
B70512330,20
S67636512,10
V67281806,4
V70478610,1
P70380934,8
W70321414,4
P70298910,1
R70298184,1
U69845634,13
Y70174100,3
Z70104660,9
Q70010936,9
N69996460,5
L69915070,8
U68608612,7
M69935644,
G69919202,12
B69897758,7
L69897686,10
C57468912,8
W68819232,
F70897024,3
B70896844,2
F70093294,1
L70915298,8
G70881358,1
A70874598,1
G70853874,28
A70853504,14
U70853072,6
M70810712,30
V70810568,14
M70746254,11
E70742942,3
G70738996,15
S70458380,2
R70669146,3
K70648932,9
Y70646400,14
I70592930,15
J70472928,6
O70450322,8
S70388552,12
C70372510,
M70362234,
P70354062,2
E70352882,2
T70343738,3
R69447246,4
Z65178578,1
R70282388,
I70239152,9
R70254840,
Y70206966,
Q70206674,
V70206538,
F70202262,
K70202100,
Q70201928,
P70106010,
Y70105010,5
M70100856,12
O70100834,14
Z70094764,12
D70081372,7
H70081318,5
H65321672,
G70065804,8
Y69968948,38
A69981106,1
W69965526,3
M69920506,8
H69896590,1
U69997648,2
G70338640,G
X70277990,2
W70256166,5
I70062392,1
F70951728,1
G70929552,1
K70920780,1
V70877808,25
F70877284,18
D70857974,12
Q70857756,6
T70785138,G
E70413058,12
D70147416,2
D69340830,12
X70867084,8
P70705394,1
Z70463660,2
G70458424,3
D41664085,6
I70725626,
S70682216,1
W70644824,10
B70479634,7
P70489530,
M70487968,
P70487702,
B70482704,20
H70482072,8
L70480362,12
K68936960,G
Y70449136,5
F70404168,10
X70403464,
B70395012,6
L70393136,
C70392240,
N70391520,
L70320604,
Z70089198,12
H70237420,
T70216548,10
B70216250,9
J70212302,
Q70210644,6
M68872152,
X70025570,1
L65710522,1
R65191936,6
Y69620784,7
F69530806,1
L68562832,G
J68403052,1
B68403050,1
D68403044,
H52284742,11
I70216304,
L69158002,7
B67955890,3
L68397564,1
P68397562,1
S68397560,1
V70594510,25
A70594388,18
N70594052,23
T70593838,18
I70591422,19
F70590902,19
B70590712,13
P70588104,4
K70587228,2
N70586964,6
R70586520,5
W70450898,10
R70429758,2
X70339820,10
N70321662,10
V70308350,16
K70308260,16
C70308136,11
Y70307958,6
X70301200,7
K70300752,8
G70269734,7
K70269060,8
Z70258870,8
S70258810,9
A70258720,11
H70258600,9
B70258436,10
I70253586,21
Q70253172,22
G70253016,13
K70252474,21
H70252278,11
V70242196,10
H70241618,9
K70221828,23
J70221686,14
H70221382,8
P70216374,29
B70216156,19
E70215184,20
F70213960,18
W70213356,11
F70199408,2
P70196386,1
Z70176118,2
M70146338,32
I70143214,20
N70142496,31
I70142376,18
F70142274,13
T70142216,4
Z70130464,7
B70130324,7
H70087260,5
P70085836,11
H70084008,15
Y70074986,6
V70055610,6
K69975666,12
Z69965532,14
N69965080,7
E69903000,23
K69902764,21
W69902560,16
Y69902392,8
P69901180,1
M69901002,3
K69900804,4
I69900666,3
Z69900526,3
F28038762,11
K67698624,3
Z69538742,5
Z69217706,3
Y69446084,9
V69311704,4
C69212450,9
Z69253934,
W68297640,9
I68297582,9
W68297426,9
U68297348,9
E68297264,9
K68294912,9
F68293566,9
E68292916,9
F67607568,9
C67607510,7
K67607414,11
C63875720,19
F70871740,
T69425764,7
R70127004,1
T69917792,3
U71016480,
B71014720,4
S71014256,1
U71010870,40
R70992812,26
M70992316,10
K70989756,4
K70980350,9
J70979824,8
X70976616,7
T70975726,10
B70975414,15
V70968060,3
Z70958054,7
Y70957498,10
O70949512,19
H70946560,7
K70897348,7
U70877544,6
V70874228,G
C70874014,
W70873894,2
I70873058,1
F70733220,4
X70857588,9
K70842716,15
Y70842368,5
S70826738,
C70826618,2
P70814896,
E70749734,2
I70739378,8
O70739356,7
V70739336,7
X70739302,12
X70711030,14
L70706992,18
X70676986,
I70664498,2
L70663552,1
W70663344,1
D70663266,G
D70663140,G
K70660782,14
R70656524,1
N70656494,1
Y70617410,G
X70615116,12
H70614864,2
A70610204,3
D70607262,1
H70592022,10
E70591006,18
C70590160,6
V70585122,9
S70518450,15
C70518084,22
G70510840,2
T70423770,
E70423530,
S70423324,
Y70422336,
P70394060,6
R70355962,5
M70289362,6
Y70220450,8
Y70114952,5
X70113902,G
J70103908,2
I70028582,3
X70024868,2
R69964752,
H69959306,
L69899698,6
Q66773128,8
E69693040,3
I69531402,
V70566032,12
L70239884,
L70882366,G
F70784010,2
X70688110,14
H70687946,17
G70687812,8
H70389854,4
I70389760,3
F70316468,1
H70272974,6
N70154380,18
Q70765562,2
L70738298,39
O70734458,39
G68037670,21
P70929558,2
X70927586,2
E70882122,8
D70881412,16
S70878912,1
H70871856,16
A70859776,17
A70771118,8
E70680362,11
W70620176,10
N70605176,3
Z70357918,2
G70284410,G
A63035084,1
Q70836708,
Z70394112,20
Z70937216,3
T70775280,3
E70163924,11
U70146594,9
B62588794,8
Y70375488,12
S67804614,2
D62179190,15
U70284928,
O70109040,10
M70073456,3
D70072228,11
W70065546,15
O70938892,16
Y70751200,30
D70570356,8
P70168380,25
H70113826,16
X70113186,G
Z66171462,9
R70752940,7
P70992024,2
T70695608,6
Q70269340,8
O70134258,8
R69924350,8
H70258152,
J70096514,2
E70096400,9
Z70096332,8
V70093632,7
Z70091120,10
K70090846,4
X70090700,3
Y70089350,6
E69956596,1
Q69060534,1
M71008810,7
D68459290,2
O65071968,4
D70994568,11
O70993428,8
X65877644,
L67399480,6
P67481334,10
Y69323262,8
V70988786,11
V70920770,20
O70884540,
I70884532,
A70882634,3
C70882630,4
Y70882622,8
U70767944,10
O70745580,
P70737650,5
G70737270,9
O70736484,7
M70735824,9
M69310930,2
B69522320,2
I70597578,8
M70597154,12
Z70596736,8
T70544222,8
J70530974,9
X69325720,
Z70467908,2
S67406806,4
I66799844,5
O70049056,7
O69815404,12
S70666054,3
Q70146320,2
Y69682106,G
R71023812,1
C70967006,25
D69765502,1
F66338980,2
B70911256,
B70898694,
N70876132,2
G70870574,3
U70870572,1
U70862890,
N44836153,15
X62250048,6
C70834782,G
L70832100,3
N70815754,
X70760542,12
X60211742,5
T65096300,6
G65096242,8
J70738834,15
P70697258,11
X70619658,
N70619256,1
J70619038,4
D70610390,5
V70588028,20
D70576754,11
A70536784,8
C70381872,7
T70521912,11
L70521472,6
C70448958,
A70442842,3
G70433718,5
N70397106,6
B70379402,
N70358646,27
T52705092,
N70339612,5
G70316014,11
Z70221824,12
U70209202,1
I70203542,8
S70202950,15
X70202832,6
E70202716,10
I70183962,G
S70177582,15
O70170158,
J70148208,10
M70148172,4
C70077454,4
V70083412,5
Z70019390,
M70009172,9
H70009086,4
J70006602,14
G70006596,10
L69922258,4
F69852912,
A69852264,10
K69735128,21
R69710700,21
Q69047570,
L68774854,
F6292549,5
U70910504,8
J70622870,5
L70594456,17
N70574976,7
X70219994,G
D70242400,2
U65815526,3
E70142314,10
E68938394,3
L70074360,
O69971436,9
L69733266,
T69714676,3
J69714450,3
Y69714208,4
S69687536,
U69687308,2
Q66672540,
S68542650,
X70875320,2
I70010380,9
B67259308,2
H69941520,9
C69028948,4
R70932092,8
M62421562,12
A70250724,3
F70250300,6
J65780548,14
D70063670,
S71012668,
B71004396,1
J70953082,0
L70701246,6
Z70924754,8
J70891180,19
D70474494,15
O70815008,5
F70796010,14
Y70784944,27
L70722302,1
N70721964,2
Z70698118,1
V70697238,4
Q70689748,
N70676892,
D68999070,14
T70553602,2
N70553270,1
U70268600,3
B70491254,B
K70468088,
M70455600,15
C70440122,1
X70397076,
L70392570,1
V70392292,11
Y70307882,1
F70232596,4
T70114554,
X70136716,
L70116012,4
K70072406,
E70056328,18
J69933110,
R69907842,
V70139768,
U70906400,4
U69579018,6
T70843334,9
Q70755546,12
U70528538,
O70406920,1
G70309436,9
M70308396,16
H70308330,10
S70305082,15
X70182546,
Z69974380,15
T70834532,
U70084924,
W70015586,
D68343110,17
X67703332,1
J71017380,6
M70920120,13
D70862692,6
N70753486,7
L70705398,15
U66835254,2
V70608904,15
M70581154,
L70537278,8
D70537932,
S70462760,G
U70449372,12
X70415146,2
F70402474,5
E70377170,22
O70376544,18
S70346002,7
Z70345524,2
L70308426,5
V70308346,20
O70268944,17
W70241598,7
H70239968,5
T67157746,
L70077152,G
J70076614,4
D70067908,1
Z70048700,3
A69968076,2
D68504158,8
E68502456,19
W67004462,2
D69017648,8
F70486640,1
R70988754,
K70971048,5
B70966808,4
A70947052,2
L66338816,16
I66338124,11
G70933556,12
E70933134,3
P70932848,3
T69609506,3
K70797714,2
T70788070,L
R53729930,4
K53733474,3
H70608266,L
Z70528590,14
H70514552,L
D70479608,8
Y70479528,7
H70479464,6
H70393898,6
I63999146,15
Z70238846,3
K70214986,4
R62216030,14
H69979084,
A69684058,2
Z59468502,12
J66338716,15
L59468276,9
X46424617,8
E68966870,8
N68632476,
C68629782,
I70996870,5
Q70930170,9
T70798086,25
W70476730,14
W66445234,4
S69124806,
Z68987026,15
E68893418,4
L67974582,G
P68039216,1
U68039020,12
T67975290,G
J66543916,8
O66543276,5
V55874710,15
Y71023832,6
X70106376,6
J70929562,21
Q70800322,16
L70702570,14
Y70464440,1
H70403270,4
Z70286108,3
I68872458,2
P70096892,
A52110120,
U69974964,6
B64499824,
N70942362,
P70803010,
J70754172,4
W57250216,G
M70699834,2
V70699506,2
O70699392,
J70662670,4
O70455594,
D64240226,3
E70248530,2
D68890408,
T70056540,G
A70022076,
A68253806,
I70872524,
L70632280,4
M70632054,10
F70631806,25
J70631596,8
M70631458,6
G70630758,5
A70630222,8
I70629958,6
N70629860,8
P70514588,4
Y70459708,4
E70445282,
J70415886,7
U70291952,5
H70163164,
O69938834,10
H69938710,10
V69938082,8
T69937918,16
X69937308,12
F68953504,18
W68659660,3
X68659560,3
A68653482,3
M67955582,28
Y50490750,14
N48583883,18
P65294006,8
K65293014,10
P71009932,7
X70991688,10
F70985994,12
H70980212,
C70971994,
Z70970032,18
L70966036,10
P70933640,2
I70933430,4
X70932930,G
L70932710,7
A70932056,11
P70931716,12
K70931408,21
D70930774,12
B70930420,3
X70929478,4
D70929082,3
J70928664,
P70928552,12
B70928416,11
I70928066,12
O70927628,4
S70743440,
A70452696,G
D70452646,
V70318584,2
M70074424,
J69986810,
T69514974,2
J46522845,5
E70445908,20
C70240516,3
Z70102888,
C70065060,
Q45504607,2
P50485370,G
K46185177,21
H46011355,5
J70952026,14
Z71011340,
Q70948300,11
T70948016,16
X69731636,4
N70952172,2
Y70948710,
M67409532,
Y70900502,2
T70900358,4
F69563126,2
T70896274,9
J70702962,5
Y70836114,5
Y70785864,6
N70783736,7
O70775160,G
V70774920,G
F70773762,11
O70755946,
T70745302,10
C70739022,5
X70738782,10
W70729710,8
U70729560,16
L70727820,3
L70724842,2
K70709228,2
E70707418,4
L70695762,16
U70695634,33
A70645130,11
X70645442,2
H70645544,15
Y70619300,11
S70618956,11
Y70606244,17
T70265466,9
W70611422,18
N70606266,9
H70605052,9
L70598418,G
V70586700,10
D70577914,8
D70537544,
F70512132,3
M70499478,7
Z67126332,7
G70468696,G
P70449300,7
T70424950,4
Q70357108,2
J70316440,1
I70353772,
D68319114,2
B68323462,9
Y69166036,3
S69202688,7
Y66445154,17
Z68774778,2
Q70318420,5
K70318176,5
S70317156,2
Z69270116,4
Y70283912,4
F69973950,9
G70215840,15
V70199384,G
O70198264,4
X70181746,4
A70170928,G
A70122022,1
L70159904,6
G70146436,3
T70146326,6
Z70146288,9
G70146202,29
I70141922,4
A70134160,
G70106274,13
U70096330,5
G70085368,6
E70072362,
G70040940,
K70033662,6
B69963578,6
E70026596,G
B69994018,16
N70007852,12
H70003908,7
F65017382,
D69995168,9
Z69973884,2
B69976330,11
C69965998,9
Z69965842,9
G69922848,2
